gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
Vmn2r82,0.724202470815512,0.657025811929811,0.031,0.025,1
Foxr1,0.724209202325197,0.965857627128647,0.013,0.009,1
Mrpl51,0.724312576868203,0.45399686818372,0.013,0.012,1
Elovl1,0.724399182482031,0.421539222971089,0.025,0.018,1
A330070K13Rik,0.724457588668512,0.590775743649694,0.013,0.009,1
Frs2,0.724510552135926,0.301335938796199,0.082,0.057,1
Celsr2,0.724513678842493,0.354306652310915,0.025,0.027,1
Mlana,0.724523663076658,0.89452517024765,0.025,0.012,1
St8sia1,0.724525457293796,0.142659588460479,0.189,0.125,1
Tmem229a,0.724555448635455,0.261130464951274,0.063,0.034,1
Usp26,0.72458864961883,-0.0702925095365892,0.038,0.037,1
Far2,0.724702026473272,-0.00850826888899192,0.296,0.197,1
Igf2,0.724790867469181,1.4355903493669,0.013,0.004,1
Ppp1r3g,0.724794054146337,0.798542613281192,0.019,0.016,1
Ccnk,0.724848998378628,0.30078619709279,0.069,0.043,1
Fam98c,0.724850500304429,0.406524169717362,0.019,0.012,1
Ggcx,0.724879508908865,0.9553949007067,0.025,0.018,1
Tbc1d15,0.724907695450868,0.152297685304946,0.113,0.087,1
Sept5,0.724934241669919,0.0189925164335865,0.031,0.024,1
